TEST_POINT,TN,FP,FN,TP,FN_RATIO,PRECISION,RECALL,F_SCORE
1,615.2,0.0,48.8,0.0,0.0,0.0,0.0,0.0
2,308.2,0.0,48.8,0.2,0.0,0.2,0.004081632653061224,0.007999999999999998
3,204.8,0.6,49.0,0.2,0.002329192546583851,0.2,0.004347826086956522,0.008510638297872339
4,150.6,3.8,45.2,4.4,0.018269230769230767,0.5977289377289378,0.09006808862366014,0.1535646591580039
5,118.4,5.2,43.4,6.2,0.029180695847362517,0.6124542124542124,0.12376224616717679,0.20197791475351337
6,89.6,12.6,35.0,15.4,0.07944514501891552,0.5614141414141415,0.3045591486410334,0.3872998928889131
7,74.0,15.2,32.8,16.4,0.1045392022008253,0.5210048928238583,0.3348777123646834,0.4048207780091958
8,57.8,19.6,24.4,25.4,0.14497041420118342,0.5625775462571457,0.5108843537414965,0.5345050920870896
9,45.6,22.6,21.4,29.4,0.1765625,0.5697414354308844,0.5818670586878819,0.5713508414089367
10,39.8,21.6,18.8,31.8,0.17704918032786887,0.6017520325203252,0.6331943926008876,0.6109208510185179
-1,55,23,34,29,0.24113475177304963,0.5576923076923077,0.4603174603174603,0.5043478260869565
